"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 16:33:16 GMT 2024","Fri Sep 06 16:33:21 GMT 2024","4519","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_email",""
"passed","Wed Aug 28 14:23:35 GMT 2024","Wed Aug 28 14:23:36 GMT 2024","436","","test_progmusix","TestProgmusix","","","test_reg_TAB",""
"passed","Fri Sep 06 16:33:08 GMT 2024","Fri Sep 06 16:33:09 GMT 2024","601","","test_ProgMusix","TestProgmusix","","","test_reg_TAB",""
"passed","Fri Sep 06 16:33:22 GMT 2024","Fri Sep 06 16:33:26 GMT 2024","4498","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_password",""
"passed","Fri Sep 06 16:33:50 GMT 2024","Fri Sep 06 16:33:51 GMT 2024","1592","","test_ProgMusix","TestProgmusix","","","test_contact",""
"passed","Fri Sep 06 16:33:11 GMT 2024","Fri Sep 06 16:33:15 GMT 2024","4461","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_username",""
"passed","Fri Sep 06 16:33:10 GMT 2024","Fri Sep 06 16:33:10 GMT 2024","532","","test_ProgMusix","TestProgmusix","","","test_reg_negative",""
"passed","Wed Aug 28 14:23:38 GMT 2024","Wed Aug 28 14:23:38 GMT 2024","427","","test_progmusix","TestProgmusix","","","test_reg_negative",""
"passed","Fri Sep 06 16:33:44 GMT 2024","Fri Sep 06 16:33:46 GMT 2024","2386","","test_ProgMusix","TestProgmusix","","","test_login_positive",""
"passed","Fri Sep 06 16:33:47 GMT 2024","Fri Sep 06 16:33:47 GMT 2024","252","","test_ProgMusix","TestProgmusix","","","test_login_TAB",""
"passed","Fri Sep 06 16:33:27 GMT 2024","Fri Sep 06 16:33:31 GMT 2024","4468","","test_ProgMusix","TestProgmusix","","","test_reg_dif_password",""
"passed","Fri Sep 06 16:33:48 GMT 2024","Fri Sep 06 16:33:49 GMT 2024","819","","test_ProgMusix","TestProgmusix","","","test_login_negative",""
"passed","Fri Sep 06 16:34:13 GMT 2024","Fri Sep 06 16:34:13 GMT 2024","10","","test_ProgMusix","TestProgmusix","","","test_last_user_del",""
"broken","Fri Sep 06 16:32:44 GMT 2024","Fri Sep 06 16:32:47 GMT 2024","3200","","test_ProgMusix","TestProgmusix","","","test_registration",""
"passed","Fri Sep 06 16:33:38 GMT 2024","Fri Sep 06 16:33:43 GMT 2024","4541","","test_ProgMusix","TestProgmusix","","","test_long_email",""
"passed","Fri Sep 06 16:32:48 GMT 2024","Fri Sep 06 16:33:08 GMT 2024","19306","","test_ProgMusix","TestProgmusix","","","test_reg_email",""
"passed","Wed Aug 28 14:23:40 GMT 2024","Wed Aug 28 14:23:41 GMT 2024","812","","test_progmusix","TestProgmusix","","","test_contact",""
"broken","Fri Sep 06 16:33:52 GMT 2024","Fri Sep 06 16:34:12 GMT 2024","20218","","test_ProgMusix","TestProgmusix","","","test_paying",""
