"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 09:46:55 GMT 2024","Mon Sep 02 09:46:55 GMT 2024","23","","test_progmusix","TestProgmusix","","","test_get_categories",""
"passed","Mon Sep 02 09:46:52 GMT 2024","Mon Sep 02 09:46:54 GMT 2024","1999","","test_progmusix","TestProgmusix","","","test_contact",""
"passed","Mon Sep 02 09:46:50 GMT 2024","Mon Sep 02 09:46:50 GMT 2024","498","","test_progmusix","TestProgmusix","","","test_reg_TAB",""
"passed","Mon Sep 02 09:46:51 GMT 2024","Mon Sep 02 09:46:51 GMT 2024","497","","test_progmusix","TestProgmusix","","","test_reg_negative",""
