"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 09:34:18 GMT 2024","Mon Sep 02 09:34:19 GMT 2024","549","","test_progmusix","TestProgmusix","","","test_reg_negative",""
"passed","Mon Sep 02 09:34:17 GMT 2024","Mon Sep 02 09:34:17 GMT 2024","739","","test_progmusix","TestProgmusix","","","test_reg_TAB",""
"passed","Mon Sep 02 09:34:19 GMT 2024","Mon Sep 02 09:34:21 GMT 2024","2088","","test_progmusix","TestProgmusix","","","test_contact",""
"broken","Mon Sep 02 09:34:22 GMT 2024","Mon Sep 02 09:34:22 GMT 2024","0","","test_progmusix","TestProgmusix","","","test_get_categories",""
