"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 14:23:38 GMT 2024","Wed Aug 28 14:23:38 GMT 2024","427","","test_progmusix","TestProgmusix","","","test_reg_negative",""
"passed","Fri Sep 06 13:54:21 GMT 2024","Fri Sep 06 13:54:21 GMT 2024","555","","test_ProgMusix","TestProgmusix","","","test_reg_negative",""
"broken","Fri Sep 06 13:53:44 GMT 2024","Fri Sep 06 13:54:01 GMT 2024","16559","","test_ProgMusix","TestProgmusix","","","test_registration",""
"passed","Fri Sep 06 13:54:48 GMT 2024","Fri Sep 06 13:54:51 GMT 2024","2326","","test_ProgMusix","TestProgmusix","","","test_login_positive",""
"passed","Fri Sep 06 13:54:38 GMT 2024","Fri Sep 06 13:54:42 GMT 2024","4484","","test_ProgMusix","TestProgmusix","","","test_reg_dif_password",""
"passed","Fri Sep 06 13:54:22 GMT 2024","Fri Sep 06 13:54:26 GMT 2024","4463","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_username",""
"passed","Fri Sep 06 13:54:19 GMT 2024","Fri Sep 06 13:54:20 GMT 2024","605","","test_ProgMusix","TestProgmusix","","","test_reg_TAB",""
"passed","Fri Sep 06 13:54:27 GMT 2024","Fri Sep 06 13:54:31 GMT 2024","4461","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_email",""
"passed","Fri Sep 06 13:54:43 GMT 2024","Fri Sep 06 13:54:48 GMT 2024","4561","","test_ProgMusix","TestProgmusix","","","test_long_email",""
"passed","Fri Sep 06 13:54:01 GMT 2024","Fri Sep 06 13:54:19 GMT 2024","17195","","test_ProgMusix","TestProgmusix","","","test_reg_email",""
"passed","Wed Aug 28 14:23:35 GMT 2024","Wed Aug 28 14:23:36 GMT 2024","436","","test_progmusix","TestProgmusix","","","test_reg_TAB",""
"passed","Fri Sep 06 13:54:52 GMT 2024","Fri Sep 06 13:54:53 GMT 2024","811","","test_ProgMusix","TestProgmusix","","","test_login_negative",""
"passed","Fri Sep 06 13:54:54 GMT 2024","Fri Sep 06 13:54:56 GMT 2024","1624","","test_ProgMusix","TestProgmusix","","","test_contact",""
"passed","Wed Aug 28 14:23:40 GMT 2024","Wed Aug 28 14:23:41 GMT 2024","812","","test_progmusix","TestProgmusix","","","test_contact",""
"passed","Fri Sep 06 13:54:32 GMT 2024","Fri Sep 06 13:54:37 GMT 2024","4480","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_password",""
"passed","Fri Sep 06 13:54:52 GMT 2024","Fri Sep 06 13:54:52 GMT 2024","235","","test_ProgMusix","TestProgmusix","","","test_login_TAB",""
"broken","Fri Sep 06 13:54:56 GMT 2024","Fri Sep 06 13:55:17 GMT 2024","20615","","test_ProgMusix","TestProgmusix","","","test_paying",""
