"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 16:22:57 GMT 2024","Wed Sep 11 16:23:01 GMT 2024","3928","Tests","test_reg_negative","TestProgmusix","","","test_reg_dif_password",""
"broken","Wed Sep 11 16:23:08 GMT 2024","Wed Sep 11 16:23:27 GMT 2024","18865","Tests","test_purchase","TestProgmusix","","","test_paying",""
"passed","Wed Sep 11 16:22:39 GMT 2024","Wed Sep 11 16:22:44 GMT 2024","4545","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_username",""
"passed","Wed Sep 11 16:22:34 GMT 2024","Wed Sep 11 16:22:36 GMT 2024","2555","Tests","test_reg_negative","TestProgmusix","","","test_reg_TAB",""
"passed","Wed Sep 11 16:21:42 GMT 2024","Wed Sep 11 16:21:51 GMT 2024","9226","Tests","test_registration","TestProgmusix","","","test_regtest",""
"passed","Wed Sep 11 16:22:37 GMT 2024","Wed Sep 11 16:22:38 GMT 2024","649","Tests","test_reg_negative","TestProgmusix","","","test_reg_negative",""
"passed","Wed Sep 11 16:22:45 GMT 2024","Wed Sep 11 16:22:50 GMT 2024","4753","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_email",""
"passed","Wed Sep 11 16:23:06 GMT 2024","Wed Sep 11 16:23:06 GMT 2024","11","Tests","test_login","TestProgmusix","","","test_user_role",""
"passed","Wed Sep 11 16:23:03 GMT 2024","Wed Sep 11 16:23:04 GMT 2024","1396","Tests","test_login","TestProgmusix","","","test_login_positive",""
"passed","Wed Sep 11 16:21:52 GMT 2024","Wed Sep 11 16:22:33 GMT 2024","40832","Tests","test_registration","TestProgmusix","","","test_reg_email",""
"passed","Wed Sep 11 16:22:51 GMT 2024","Wed Sep 11 16:22:55 GMT 2024","3884","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_password",""
