"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 15:07:47 GMT 2024","Wed Sep 11 15:07:51 GMT 2024","4861","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_email",""
"passed","Wed Sep 11 15:06:47 GMT 2024","Wed Sep 11 15:07:33 GMT 2024","46124","Tests","test_registration","TestProgmusix","","","test_reg_email",""
"passed","Wed Sep 11 15:07:34 GMT 2024","Wed Sep 11 15:07:37 GMT 2024","2590","Tests","test_reg_negative","TestProgmusix","","","test_reg_TAB",""
"passed","Wed Sep 11 15:06:37 GMT 2024","Wed Sep 11 15:06:46 GMT 2024","8464","Tests","test_registration","TestProgmusix","","","test_regtest",""
"passed","Wed Sep 11 15:07:41 GMT 2024","Wed Sep 11 15:07:46 GMT 2024","4557","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_username",""
"broken","Wed Sep 11 15:07:58 GMT 2024","Wed Sep 11 15:07:58 GMT 2024","91","Tests","test_reg_negative","TestProgmusix","","","test_reg_dif_password",""
"passed","Wed Sep 11 15:07:40 GMT 2024","Wed Sep 11 15:07:40 GMT 2024","634","Tests","test_reg_negative","TestProgmusix","","","test_reg_negative",""
"passed","Wed Sep 11 15:07:53 GMT 2024","Wed Sep 11 15:07:57 GMT 2024","3873","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_password",""
