"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 11:34:29 GMT 2024","Wed Sep 11 11:34:30 GMT 2024","760","","test_ProgMusix","TestProgmusix","","","test_reg_negative",""
"passed","Wed Sep 11 11:34:44 GMT 2024","Wed Sep 11 11:34:47 GMT 2024","3700","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_password",""
"passed","Wed Sep 11 11:34:31 GMT 2024","Wed Sep 11 11:34:36 GMT 2024","4696","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_username",""
"passed","Wed Sep 11 11:33:49 GMT 2024","Wed Sep 11 11:34:21 GMT 2024","32190","","test_ProgMusix","TestProgmusix","","","test_reg_email",""
"passed","Wed Sep 11 11:35:04 GMT 2024","Wed Sep 11 11:35:07 GMT 2024","2392","","test_ProgMusix","TestProgmusix","","","test_contact",""
"passed","Wed Sep 11 11:33:38 GMT 2024","Wed Sep 11 11:33:47 GMT 2024","9579","","test_registration_pm","TestProgmusix","","","test_regtest",""
"passed","Wed Sep 11 11:35:02 GMT 2024","Wed Sep 11 11:35:03 GMT 2024","1100","","test_ProgMusix","TestProgmusix","","","test_login_negative",""
"broken","Wed Sep 11 11:35:08 GMT 2024","Wed Sep 11 11:35:28 GMT 2024","19957","","test_ProgMusix","TestProgmusix","","","test_paying",""
"passed","Wed Sep 11 11:35:29 GMT 2024","Wed Sep 11 11:35:29 GMT 2024","66","","test_ProgMusix","TestProgmusix","","","test_postman1",""
"passed","Wed Sep 11 11:34:24 GMT 2024","Wed Sep 11 11:34:24 GMT 2024","19","","test_ProgMusix","TestProgmusix","","","test_change_admin",""
"passed","Wed Sep 11 11:34:55 GMT 2024","Wed Sep 11 11:34:59 GMT 2024","4432","","test_ProgMusix","TestProgmusix","","","test_long_email",""
"passed","Wed Sep 11 11:34:49 GMT 2024","Wed Sep 11 11:34:53 GMT 2024","4408","","test_ProgMusix","TestProgmusix","","","test_reg_dif_password",""
"passed","Wed Sep 11 11:34:22 GMT 2024","Wed Sep 11 11:34:23 GMT 2024","1347","","test_ProgMusix","TestProgmusix","","","test_login_positive",""
"passed","Wed Sep 11 11:34:25 GMT 2024","Wed Sep 11 11:34:28 GMT 2024","2611","","test_ProgMusix","TestProgmusix","","","test_reg_TAB",""
"broken","Wed Sep 11 11:35:01 GMT 2024","Wed Sep 11 11:35:01 GMT 2024","60","","test_ProgMusix","TestProgmusix","","","test_login_TAB",""
"passed","Wed Sep 11 11:34:38 GMT 2024","Wed Sep 11 11:34:43 GMT 2024","4415","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_email",""
