"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 11 11:40:39 GMT 2024","Wed Sep 11 11:40:59 GMT 2024","19738","","test_ProgMusix","TestProgmusix","","","test_paying",""
"passed","Wed Sep 11 11:40:09 GMT 2024","Wed Sep 11 11:40:13 GMT 2024","3723","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_email",""
"passed","Wed Sep 11 11:40:15 GMT 2024","Wed Sep 11 11:40:19 GMT 2024","3847","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_password",""
"passed","Wed Sep 11 11:40:31 GMT 2024","Wed Sep 11 11:40:32 GMT 2024","1232","","test_ProgMusix","TestProgmusix","","","test_login_TAB",""
"passed","Wed Sep 11 11:40:26 GMT 2024","Wed Sep 11 11:40:30 GMT 2024","4022","","test_ProgMusix","TestProgmusix","","","test_long_email",""
"passed","Wed Sep 11 11:40:01 GMT 2024","Wed Sep 11 11:40:02 GMT 2024","803","","test_ProgMusix","TestProgmusix","","","test_reg_negative",""
"passed","Wed Sep 11 11:39:58 GMT 2024","Wed Sep 11 11:40:01 GMT 2024","2540","","test_ProgMusix","TestProgmusix","","","test_reg_TAB",""
"passed","Wed Sep 11 11:39:10 GMT 2024","Wed Sep 11 11:39:18 GMT 2024","8186","","test_registration_pm","TestProgmusix","","","test_regtest",""
"passed","Wed Sep 11 11:40:03 GMT 2024","Wed Sep 11 11:40:08 GMT 2024","4901","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_username",""
"passed","Wed Sep 11 11:39:20 GMT 2024","Wed Sep 11 11:39:54 GMT 2024","34105","","test_ProgMusix","TestProgmusix","","","test_reg_email",""
"passed","Wed Sep 11 11:39:55 GMT 2024","Wed Sep 11 11:39:56 GMT 2024","1338","","test_ProgMusix","TestProgmusix","","","test_login_positive",""
"passed","Wed Sep 11 11:41:00 GMT 2024","Wed Sep 11 11:41:01 GMT 2024","32","","test_ProgMusix","TestProgmusix","","","test_postman1",""
"passed","Wed Sep 11 11:39:57 GMT 2024","Wed Sep 11 11:39:57 GMT 2024","15","","test_ProgMusix","TestProgmusix","","","test_change_admin",""
"passed","Wed Sep 11 11:40:20 GMT 2024","Wed Sep 11 11:40:24 GMT 2024","4252","","test_ProgMusix","TestProgmusix","","","test_reg_dif_password",""
"passed","Wed Sep 11 11:40:34 GMT 2024","Wed Sep 11 11:40:35 GMT 2024","998","","test_ProgMusix","TestProgmusix","","","test_login_negative",""
"passed","Wed Sep 11 11:40:36 GMT 2024","Wed Sep 11 11:40:38 GMT 2024","2343","","test_ProgMusix","TestProgmusix","","","test_contact",""
