"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 10:17:13 GMT 2024","Wed Sep 11 10:17:13 GMT 2024","17","","test_ProgMusix","TestProgmusix","","","test_change_admin",""
"broken","Wed Sep 11 10:15:48 GMT 2024","Wed Sep 11 10:16:39 GMT 2024","50515","","test_registration_pm","TestProgmusix","","","test_regtest",""
"passed","Wed Sep 11 10:17:31 GMT 2024","Wed Sep 11 10:17:35 GMT 2024","3913","","test_ProgMusix","TestProgmusix","","","test_reg_dif_password",""
"passed","Wed Sep 11 10:17:18 GMT 2024","Wed Sep 11 10:17:21 GMT 2024","3742","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_username",""
"passed","Wed Sep 11 10:16:40 GMT 2024","Wed Sep 11 10:17:11 GMT 2024","31015","","test_ProgMusix","TestProgmusix","","","test_reg_email",""
"passed","Wed Sep 11 10:17:52 GMT 2024","Wed Sep 11 10:17:52 GMT 2024","50","","test_ProgMusix","TestProgmusix","","","test_postman1",""
"broken","Wed Sep 11 10:17:29 GMT 2024","Wed Sep 11 10:17:29 GMT 2024","100","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_password",""
"passed","Wed Sep 11 10:17:42 GMT 2024","Wed Sep 11 10:17:42 GMT 2024","522","","test_ProgMusix","TestProgmusix","","","test_login_TAB",""
"passed","Wed Sep 11 10:17:14 GMT 2024","Wed Sep 11 10:17:15 GMT 2024","609","","test_ProgMusix","TestProgmusix","","","test_reg_TAB",""
"passed","Wed Sep 11 10:17:36 GMT 2024","Wed Sep 11 10:17:40 GMT 2024","3954","","test_ProgMusix","TestProgmusix","","","test_long_email",""
"broken","Wed Sep 11 10:17:50 GMT 2024","Wed Sep 11 10:17:50 GMT 2024","66","","test_ProgMusix","TestProgmusix","","","test_paying",""
"passed","Wed Sep 11 10:17:12 GMT 2024","Wed Sep 11 10:17:12 GMT 2024","515","","test_ProgMusix","TestProgmusix","","","test_login_positive",""
"passed","Wed Sep 11 10:17:16 GMT 2024","Wed Sep 11 10:17:17 GMT 2024","704","","test_ProgMusix","TestProgmusix","","","test_reg_negative",""
"passed","Wed Sep 11 10:17:52 GMT 2024","Wed Sep 11 10:17:52 GMT 2024","25","Postman.test_Postman","tests_Postman","","","","test_postman_1",""
"passed","Wed Sep 11 10:17:22 GMT 2024","Wed Sep 11 10:17:26 GMT 2024","3920","","test_ProgMusix","TestProgmusix","","","test_reg_invalid_email",""
"passed","Wed Sep 11 10:17:47 GMT 2024","Wed Sep 11 10:17:49 GMT 2024","2837","","test_ProgMusix","TestProgmusix","","","test_contact",""
"passed","Wed Sep 11 10:17:44 GMT 2024","Wed Sep 11 10:17:45 GMT 2024","1024","","test_ProgMusix","TestProgmusix","","","test_login_negative",""
