"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 16:09:26 GMT 2024","Wed Sep 11 16:09:30 GMT 2024","4076","Tests","test_reg_negative","TestProgmusix","","","test_reg_dif_password",""
"passed","Wed Sep 11 16:09:04 GMT 2024","Wed Sep 11 16:09:06 GMT 2024","2536","Tests","test_reg_negative","TestProgmusix","","","test_reg_TAB",""
"passed","Wed Sep 11 16:09:21 GMT 2024","Wed Sep 11 16:09:25 GMT 2024","3634","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_password",""
"passed","Wed Sep 11 16:09:09 GMT 2024","Wed Sep 11 16:09:14 GMT 2024","4557","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_username",""
"passed","Wed Sep 11 16:08:10 GMT 2024","Wed Sep 11 16:08:18 GMT 2024","8189","Tests","test_registration","TestProgmusix","","","test_regtest",""
"broken","Wed Sep 11 16:09:37 GMT 2024","Wed Sep 11 16:09:56 GMT 2024","18608","Tests","test_purchase","TestProgmusix","","","test_paying",""
"passed","Wed Sep 11 16:08:19 GMT 2024","Wed Sep 11 16:09:03 GMT 2024","43582","Tests","test_registration","TestProgmusix","","","test_reg_email",""
"passed","Wed Sep 11 16:09:35 GMT 2024","Wed Sep 11 16:09:35 GMT 2024","14","Tests","test_login","TestProgmusix","","","test_user_role",""
"passed","Wed Sep 11 16:09:15 GMT 2024","Wed Sep 11 16:09:20 GMT 2024","4824","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_email",""
"passed","Wed Sep 11 16:09:07 GMT 2024","Wed Sep 11 16:09:08 GMT 2024","866","Tests","test_reg_negative","TestProgmusix","","","test_reg_negative",""
"passed","Wed Sep 11 16:09:32 GMT 2024","Wed Sep 11 16:09:34 GMT 2024","1567","Tests","test_login","TestProgmusix","","","test_login_positive",""
